id;name;file;file_content_type
1;Inversor;../fake-data/blob/hipster.png;image/png
2;Futuro;../fake-data/blob/hipster.png;image/png
3;Especialista;../fake-data/blob/hipster.png;image/png
4;acompasada;../fake-data/blob/hipster.png;image/png
5;Adelante;../fake-data/blob/hipster.png;image/png
6;Genérico Práctico;../fake-data/blob/hipster.png;image/png
7;Aplicaciones Adaptativo;../fake-data/blob/hipster.png;image/png
8;Técnico Música Verde;../fake-data/blob/hipster.png;image/png
9;Acero Algodón;../fake-data/blob/hipster.png;image/png
10;Plástico;../fake-data/blob/hipster.png;image/png
