id;start_date;end_date;language
1;2023-08-09T21:46:19;2023-08-10T14:50:49;FRENCH
2;2023-08-10T09:19:27;2023-08-09T22:49:10;ENGLISH
3;2023-08-10T15:20:33;2023-08-10T14:53:39;SPANISH
4;2023-08-10T02:12:19;2023-08-10T04:14:47;FRENCH
5;2023-08-10T02:59:01;2023-08-10T15:40:10;SPANISH
6;2023-08-10T09:15:28;2023-08-10T02:40:50;FRENCH
7;2023-08-10T12:23:54;2023-08-09T18:34:54;FRENCH
8;2023-08-09T19:40:31;2023-08-10T05:47:12;SPANISH
9;2023-08-09T18:50:21;2023-08-10T15:40:32;FRENCH
10;2023-08-09T23:31:01;2023-08-09T18:25:44;ENGLISH
