id;street_address;postal_code;city;state_province
1;Gris Decoración;Turquia Pescado;Castellón de la Plana;Moda Extremadura Rojo
2;Pescado Estados;monitorizar;Tarrasa;Ladrillo Comunidad Usabilidad
3;fallos proyección Mercados;Respuesta Amigable;Valladolid;Galicia Pelota Asistente
4;sistemática capacidad;Fiji Micaela;Rivas-Vaciamadrid;Refinado Guapa Madrid
5;aplicación Ladrillo;Pizza Mauritania;Orihuela;Azul
6;Proactivo Muelle;Guapa;Fuenlabrada;iniciativa
7;Verónica;Blanco;Baracaldo;Factores Algodón Ergonómico
8;Parafarmacia Fácil;Hormigon;Santa Lucía de Tirajana;Coordinador Rojo
9;Gris Hormigon Asistente;optimizada habilidad Desarrollador;León;Canarias Principado
10;Nicaragua;Metal División Verde;Zaragoza;Andalucía
